コントロールカラム,商品管理番号（商品URL）,商品名,販売価格,表示価格,送料,商品画像URL
,a100048040100060,カウチソファ フレックスソファ ロウポジション 2P,28043,27180,0,https://image.rakuten.co.jp/intelogue/cabinet/g47/040100060.jpg
,a100052040100145,棚 シェルフ 本収納 360度ゆるやかフル回転 AV・コミック両面収納 BOTH ボウス ワイドタイプ,16763,16393,0,https://image.rakuten.co.jp/intelogue/cabinet/g47/040100145.jpg
,a100086040100216,壁面収納 究極のこだわり本棚!突っ張り式! 本体,33749,33009,0,https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_01.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_02.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_03.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_04.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_05.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_06.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_07.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_08.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_09.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_10.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_11.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_12.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_13.jpg https://image.rakuten.co.jp/intelogue/cabinet/g01/040100216_w_52_wg_14.jpg
